,idx,response
14,33,"The Panjshir conflict between the Islamic Emirate of Afghanistan controlled by the Taliban and the Islamic Republic of Afghanistan, including the Panjshir resistance, continues as the Panjshir Valley remains the only region out of the Taliban's control. Led by Ahmad Massoud and self-proclaimed acting president Amrullah Saleh, the resistance refuses to surrender and claims war is ""unavoidable"" if the Taliban refuses dialogue on the formation of a comprehensive government. The population of the Panjshir Valley, consisting mostly of ethnic Tajik people, continues to defend the valley, which is known for its natural defenses against invaders. The resistance has reportedly gained access to helicopters formerly used by the Afghan military and is estimated to have gathered around 9,000 fighters in the valley. The situation has attempted to be resolved with the possibility of including the Taliban in a coalition government or by reaching a peaceful resolution of the conflict, but the resistance rejects the Taliban's refusal to negotiate. Meanwhile, the USA and Western forces remain lowly supportive of this movement as they prioritize the evacuation of Kabul, dependent on the Taliban's benevolence."
15,34,"

Operation Allies Refuge is an ongoing United States military operation that aims to airlift at-risk Afghan civilians, including interpreters, U.S. embassy employees, and Special Immigrant Visa (SIV) applicants, out of Afghanistan. The operation, which coincides with the larger American military withdrawal from the country, has been ongoing since July 14, when it was officially named by the Biden administration. However, amidst the deteriorating security situation in Afghanistan, the mission has faced critical challenges, including on August 26, when a security guard was killed, and three more people were wounded in a gunfight between an unknown gunman and Afghan forces at Kabul airport's north gate, involving German and American forces. Despite the challenges, U.S. personnel, as well as NATO and regional allies, continue to evacuate people from the country. As of August 22, approximately 17,000 people, including 2,500 Americans, had been evacuated from the country, and on August 22, the Department of Defense activated the Civil Reserve Air Fleet to assist in the evacuation."
16,35,"The 2021 Niger attacks continue with militants targeting civilians and soldiers in Niger, particularly in the western region of Tillabéri. So far, the attacks have resulted in the deaths of more than 500 people and left over 100 injured. The attacks began earlier this year with the January and March attacks being the deadliest against civilians in the country. The death toll for the most recent August attacks has reached 53 with gunmen opening fire against civilians while they were praying at a mosque and attacking a village where civilians were tending their fields. In addition to the attacks in August, Boko Haram militants attacked a military post in Diffa, killing 16 soldiers and wounding nine others, leading to the death of 50 Islamist insurgents in the ensuing gun battle. The terrorists' main area of operation is the Sahel, and their attacks have left hundreds of thousands displaced and created a humanitarian crisis in the region."
17,36,"On August 26, 2021, a suicide bombing near Abbey Gate at Hamid Karzai International Airport in Kabul, Afghanistan killed at least 90 Afghan civilians and 13 American servicemembers, while more than 150 others were injured. The terrorist group ISIL-KP has claimed responsibility for the attack, which occurred after the United States State Department advised Americans outside of the airport to leave due to a threat. The attack is suspected to have been coordinated by the group, which has threatened the airport in recent days. Since the fall of Afghanistan into Taliban control on August 15, 2021, Hamid Karzai International Airport has been the only secure way out of Afghanistan. Security concerns were heightened after hundreds of ISIS-K members escaped from jails at Bagram and Pul-e-Charkhi, which resulted in a warning from US diplomats in Kabul hours before the attack. Embassies from the United States, the United Kingdom, and Australia had also warned about security threats. This attack has caused an international outcry with French President Emmanuel Macron already voicing his support for coordinating with “American allies” in response to the explosions. The attack has sparked a global response against the growing threat of terrorism in the region."
18,38,"

After the Taliban regained control of Afghanistan and announced their intentions to re-establish the Islamic Emirate of Afghanistan, the United States conducted an airstrike against an ISIL-KP member in Nangarhar Province on August 27, 2021. Recently, the US launched another airstrike in Nangarhar, killing two Islamic State members and injuring a third. According to reports, one of those killed had been planning additional attacks in Kabul. In the initial strike, the man targeted was believed to have planned the 2021 Kabul airport attack, and the use of an MQ-9 Reaper drone with guided munitions was meant to minimize civilian casualties. However, there is no known evidence of any civilian casualties in either of the airstrikes."
19,39,"On 26 August 2021, a suicide bombing at Hamid Karzai International Airport in Kabul, Afghanistan rocked the world and resulted in the deaths of at least 182 people, including 13 members of the United States military and 169 Afghan civilians. The Islamic State of Iraq and the Levant – Khorasan Province (ISIL-KP) claimed responsibility for the attack, which occurred during the evacuation from Afghanistan after the Taliban gained control of the country. In the following days, both the United States and the United Kingdom launched evacuation efforts while condemning the attack, and the US also launched an airstrike against an ISIL-KP member in Nangarhar Province on 27 August, killing two members and wounding a third. One of the deceased attackers was planning more attacks in Kabul."
20,40,"Relations between the United States and the Taliban have been strained since August 15, 2021, when the Taliban returned to power after the fall of Kabul. The United States does not recognize the Taliban as a legitimate government, but has stated that they could recognize a government that respected basic rights. On August 27, the Taliban appointed Khalil Haqqani, a known terrorist with a $5 million bounty on his head, as head of security in Kabul. In response to the August 26 airport attack, the Taliban condemned the attack and vowed to capture ISIS-K leader Shahab al-Muhajir. The United States responded with an airstrike on August 27, killing two high-profile ISIS targets and injuring a third person. This led to condemnation from the Taliban, who viewed it as a ""clear attack on Afghan territory."""
21,43,"Upon the Taliban's takeover of Afghanistan and declaration of re-establishing the Islamic Emirate, multiple drone strikes occurred in the country. In one instance, a U.S. airstrike targeted a vehicle driven by an aid worker for U.S.-based Nutrition and Education International, resulting in the deaths of at least 10 people, including seven children, who were predominantly area residents. Some of those killed possessed visas for entry into the United States and had previously worked for international organizations. Reports indicate that additional civilians may have fallen victim to the attack. These actions come following the 2021 Kabul airport attack, which resulted in the loss of over 180 lives."
22,45,"The Panjshir conflict between the Islamic Emirate of Afghanistan, controlled by the Taliban, and the Panjshir resistance, led by the National Resistance Front of Afghanistan, continues as the Taliban attempt to take control of the valley. The Panjshir resistance claims to have killed eight Taliban members in recent clashes. The valley is the last stronghold outside of Taliban control, and negotiations are currently underway in an attempt to reach a peaceful resolution to the conflict. The Panjshir resistance is seeking a decentralized government that ensures equal rights across the country as a condition for peace."
23,47,"

The Panjshir conflict has escalated with the entry of the Taliban into the valley and clashes with the National Resistance Front of Afghanistan forces who are led by Ahmad Massoud. Both sides report heavy casualties, and the Taliban claims to have gained some territory. The population of the Panjshir valley comprises a majority of ethnic Tajik people, while the Taliban are predominantly Pashtuns. The valley is well-known for its natural defences, making it challenging for the Taliban and the Soviet Union during the 1980s invasion and the Taliban during the 1990s civil war. The Taliban currently controls most of Afghanistan, while the former Islamic Republic of Afghanistan exercises de facto control over the Panjshir Valley, which is contiguous with Panjshir Province. As of August 2021, the valley is the only region not under Taliban control. Several local militias have also begun to fight the Taliban on their own, independent of the Panjshir-based forces. As of September 2021, the conflict remains ongoing."
24,48,"Operation Allies Refuge was a US military operation aimed at airlifting at-risk Afghan civilians, including interpreters, US embassy employees, and other prospective Special Immigrant Visa (SIV) applicants. Concurrent with the broader American military withdrawal from Afghanistan, the initiative culminated with the evacuation of all eligible foreigners and vulnerable Afghans. Under the operation, SIV applicants were airlifted to the US, where they were temporarily housed by the US military until they could complete their SIV requirements. The mission's name was unveiled on July 14, 2021, by the Biden administration, and on July 22, the US House of Representatives passed the Averting Loss of Life and Injury by Expediting SIVs (ALLIES) Act to expedite the Afghan SIV process, including increasing the visa cap for Afghan interpreters. On August 31, the withdrawal deadline elapsed with around 100 Americans remaining in Afghanistan. According to White House Chief of Staff Ron Klain, the Biden administration's priority in Afghanistan remains to secure the safe return of those Americans."
25,51,"On September 7th at 20:47 local time, a Mw 7.0 earthquake hit Guerrero, just outside Acapulco, Mexico. The earthquake, which was thrust faulting event located on the subduction zone boundary of the Caribbean Plate and Cocos Plate, had an estimated intensity of VII on the MMI scale and left more than 1.6 million without electricity. Sadly, one person was killed in Coyuca de Benítez due to a falling pole, and a few buildings in Acapulco were damaged, along with numerous reported gas leaks. There was also a recorded tsunami measuring 1.2 feet or 0.37 meters in Acapulco. It's worth noting that this event occurred on the anniversary of the 2017 Chiapas earthquake, which measured Mw 8.2 and killed at least 100 people. As the mayor of Acapulco, Adela Roman, urges residents to remain calm, ongoing assessments will evaluate the damage and seek to help those affected."
26,53,"The United States military operation, Operation Allies Refuge, aimed to airlift at-risk Afghan civilians, including interpreters, U.S. embassy employees, and prospective Special Immigrant Visa (SIV) applicants out of Afghanistan. Concurrent with the larger American military withdrawal from Afghanistan and the evacuation of all eligible foreigners and vulnerable Afghans, SIV applicants were airlifted to the United States, where they were temporarily housed by the U.S. military while they completed their SIV requirements. On 22 July, the Averting Loss of Life and Injury by Expediting SIVs (ALLIES) Act was passed by the United States House of Representatives, increasing the visa cap for Afghan interpreters and expediting the Afghan SIV process. As of September 7, more than 122,000 people have been evacuated from Afghanistan, including 21 Americans who were recently evacuated, according to U.S. Secretary of State Antony Blinken. However, the United States is still working to extract more Americans and vulnerable Afghans from the country. The evacuation process was marred by tragedy, including a deadly suicide bombing attack that killed more than 180 people and wounded over 200 others, and the deaths of at least six individuals who attempted to flee the country as stowaways."
27,56,"Since January 2001, the United States government has conducted multiple drone strikes in Afghanistan. These strikes began during the administration of the United States President George W. Bush and have continued through Donald Trump's presidency, with estimations suggesting that drone strikes increased four to five times compared with Barack Obama's presidency. However, a recent drone strike in August 2021 near Kabul International Airport, intended to target ISIL-K militants, instead killed 10 civilians, according to Marine Corps General Kenneth F. McKenzie Jr. This incident has added to the criticism the United States government has faced for the number of unintended civilian casualties resulting from drone strikes. As of 2021, there have been at least 13,074 airstrikes conducted by the US government, resulting in at least 4,138 deaths, including 310 civilians and 73 children."
28,57,"On September 18, 2021, a rally was held near the United States Capitol in support of the people who were arrested and charged for their involvement in the insurrection on January 6. The event was held amid fears of potential violence, and a fence was erected around the building. Despite the concerns, only a small crowd of around 400 to 450 people attended, and four participants were arrested for various felonies, including possession of weapons. Republicans largely distanced themselves from the event, and far-right groups like the Proud Boys urged their members not to attend. The rally was seen as a show of solidarity for those facing legal consequences for their actions in the Capitol attack."
29,59,"

On September 19, 2021, police were dispatched to a residential property on Chandos Crescent in Killamarsh, Derbyshire, where they discovered the remains of three children and one adult, dead. The incident has since been identified as a suspected mass murder, and authorities have charged 31-year-old Damien Bendall of Killamarsh with four counts of murder in connection with the crime. The town of Killamarsh is an outer suburb of Sheffield, South Yorkshire, and is a former coal mining town that has expanded with the growth of the city to the south and east. The victims of the tragedy have been identified as Lacey Bennett (aged 11), John Paul Bennett (aged 13), their mother Terri Harris (aged 35), and Lacey's friend Connie Gent (aged 11), who was staying with the family for a sleepover.  The investigation continues."
30,63,"

On September 25, 2021, an Amtrak passenger train derailed outside the town of Joplin, Montana, resulting in at least three deaths and roughly 50 injuries. The train was en route with 147 passengers and 13 crew members when the accident occurred at approximately 4:00 p.m. MT. The victims were taken to hospitals for medical attention. The cause of the derailment remains under investigation."
31,65,"On October 2, 2021, Qatar held its first-ever legislative elections in which Qataris voted to elect 30 out of 45 members of the Consultative Assembly. Originally scheduled for 2013, the elections were postponed twice, but finally came to fruition following an announcement by Emir Tamim bin Hamad Al Thani in November 2020. While political parties remain prohibited, 284 candidates including 29 women ran as independents for the single-member constituencies using the first-past-the-post voting system. However, eligibility criteria became a point of controversy with the law limiting voting to Qatari nationals with 1930 citizenry or earlier, thus barring naturalized citizens, Al Murrah tribe members and their descendants from participating in the elections, sparking protests. Nonetheless, the elections represent a major step forward for the country in terms of democratic reforms."
32,66,"

On 3 October 2021, tragedy struck when a Pilatus PC-12 plane crashed into an empty building in San Donato Milanese, Lombardy, Italy, resulting in the death of all eight individuals on board. The private jet accident devastated families of those affected and shocked the local community. Investigations into the cause of the crash are ongoing."
33,67,"

The Pandora Papers, released by the International Consortium of Investigative Journalists on October 3, 2021, contain 11.9 million leaked documents that expose instances of hidden wealth, tax evasion and money laundering among a wide range of public figures, including 330 politicians, 35 national leaders, and 130 billionaires. The documents reveal a total of 29,000 beneficiaries across 27,000 companies—making it the largest offshore data leak in history, surpassing the Panama Papers by half a million documents. Among the revelations were Tony Blair's purchase of a £6.45 million property in London using a British Virgin Islands company to save £312,000 on Stamp Duty. Although not illegal, such transactions raise questions about the ethical dimensions of offshore tax evasion."
34,68,"The International Consortium of Investigative Journalists (ICIJ) has published 11.9 million leaked documents, revealing hidden wealth, tax evasion, and money laundering among 330 politicians, including 35 national leaders, and numerous celebrities worldwide, including 130 billionaires, worth up to an estimated $32 trillion. The data leak is the largest offshore leak in history, exceeding the Panama Papers by nearly half a million documents. The documents were published by the ICIJ and describe their most expansive exposé of financial secrecy yet, containing documents from 14 financial service companies in Panama, Switzerland, and the UAE. The individuals named in the leak include former British Prime Minister Tony Blair, Chilean President Sebastián Piñera, Kenyan President Uhuru Kenyatta, Montenegrin President Milo Đukanović, Ukrainian President Volodymyr Zelensky, Qatari Emir Sheikh Tamim, Gabonese President Ali Bongo Ondimba, and Ecuadorian President Guillermo Lasso. The leaked files come from offshore service providers that help clients establish companies in secrecy jurisdictions, and the ICIJ worked with journalists in 117 countries, including news organizations such as The Washington Post, L'Espresso, Le Monde, El País, Süddeutsche Zeitung, PBS program Frontline, the Australian Broadcasting Corporation, The Guardian, and the BBC's Panorama."
35,70,"

On October 4, 2021, Facebook, Instagram, WhatsApp, and Oculus suffered an extended global outage beginning at 15:39 UTC. The cause of the outage was attributed to a potential BGP update from Facebook, as per some experts. The disruption has affected millions of users across the globe, and other social media platforms like Twitter faced difficulties as users flocked to their platforms during the outage. The situation is ongoing, and there is no clarity on when the services will resume."
36,73,"

A 5.9 magnitude earthquake struck Harnai, Balochistan, Pakistan on 7 October 2021, leaving at least 24 people dead and around 200 others injured. The earthquake occurred during the rupture of a thrust fault under the Sulaiman Mountains and Central Brāhui Range, according to the U.S. Geological Survey. Troops from the Pakistan Army were dispatched to aid in rescue and relief operations, with medical personnel, response workers, and officials working together to coordinate the efforts. The earthquake occurred near the anniversary of the 2005 Kashmir earthquake, which killed over 87,000 people - and comes after a major tremor in the region that occurred nearby in 2013, killing at least 800 people. Oblique convergence between the Indian Plate and Eurasian Plate made Pakistan directly influenced, involving the large Chaman Fault that caused earthquakes in the region, including the 2005 earthquake."
37,75,"

UPDATED VERSION:

On 13 October 2021, a man using a bow and arrow killed five people and injured two others in the streets of Kongsberg, Viken, Norway. The attack took place in several locations before the perpetrator was arrested. The incident left the town in shock and mourning. The authorities are investigating the motive behind the attack, and the community is mourning the loss of life caused by this senseless act of violence."
38,76,"

On 13 October 2021, a 37-year-old Norwegian man and convert to Islam with Danish citizenship, identified as Espen Andersen Bråthen, carried out a deadly attack in Kongsberg, Viken, Norway, killing five people and injuring three more using a bow and arrow. Police had been concerned about his radicalization, and he had several prior criminal convictions for break-ins, cannabis possession, and threats against family members. The suspect was first spotted walking around Kongsberg with a bow and arrows on his shoulder, and upon receiving the first calls, a patrol was sent to the location of the attack, followed by three others. Armed officers first confronted the perpetrator six minutes after the first calls, but he fired several arrows at them and escaped. He then launched the attack and killed his victims in different locations. The attack was the deadliest in Norway since the 2011 attacks committed by Anders Behring Breivik. The suspect has confessed to the attack and is being held in police custody."
39,77,"

On 15 October 2021, a suicide bombing took place during Friday prayers at the Imam Bargah mosque, a Shia mosque in Kandahar, Afghanistan, resulting in the deaths of at least 65 individuals and injuring over 70 others. A statement from Amaq, the media arm of the Islamic State – Khorasan Province, took responsibility for the attack. This bombing happened a week following another bombing, likewise claimed by the Islamic State – Khorasan Province, at a Shia mosque in Kunduz, which led to the death of around 50 people. After these two incidents, the Taliban has announced that they will implement tighter security measures at Shi'ite mosques to prevent further bombings, considering the death toll close to 120."
40,78,"Sir David Amess, a long-serving member of the British Conservative Party and Member of Parliament for Southend West, was declared a victim of a terrorist incident by law enforcement officials after being stabbed to death in a Methodist Church in Leigh-on-Sea, Essex. The attack occurred during a constituency meeting on October 15, 2021, with a 25-year-old man quickly arrested on the scene on suspicion of murder. Amess was a prominent politician who held no senior positions but was an ""instantly recognizable"" member of the Conservative Party, notably opposing abortion and campaigning for Brexit, amongst other centrist views. His murder has shocked the political world and led to renewed calls to review the security provided to elected officials during public engagements. Prime Minister Boris Johnson ordered a complete security review for all MPs in light of the attack. BBC One was one of the media outlets that paid respect to Amess, changing their evening schedule in lieu of the tragic event."
41,79,"Protests in Kosovo by the Kosovo Serbs against the government's decision to ban Serbian license plates have come to an end, following an agreement reached in Brussels on 30 September 2021. The ban triggered protests, mostly consisting of blocking traffic near border crossings, and led to the worsening of relations between Serbia and Kosovo. On 2 October, according to the agreement, barricades set up by protesters were removed, and traffic blocks ended, leading to border traffic resuming. A working group consisting of negotiators from the governments of Kosovo and Serbia will meet in Brussels on 21 October 2021, to find a more permanent solution to the license plate issue. If negotiations are successful, the group will announce their proposals in 6 months. Concerns remain about the escalating tensions between the two countries, with international powers calling for de-escalation."
42,80,"On 15 October 2021, Sir David Amess, a British Conservative Party politician and Member of Parliament (MP) for Southend West, was tragically stabbed to death multiple times during a political surgery at the Belfairs Methodist Church Hall in Leigh-on-Sea, Essex. Ali Harbi Ali, a 25-year-old male British citizen, was arrested and later charged with murder and the preparation of terrorist acts. In a recent update, Ali appeared at Westminster Magistrates' Court and the Old Bailey after being charged with Amess' murder and has been remanded to Belmarsh prison. Ali's trial is set for March 7, 2022. Amess was an instantly recognisable member of the Conservative Party and had been knighted for his political and public service. He was a devout Catholic and a socially conservative politician known for opposing abortion, supporting capital punishment, and campaigning in favour of Brexit. His death triggered a by-election to fill his former seat in Parliament, and numerous tributes were paid to him by politicians and the public alike."
43,82,"Solar cycle 25 began in December 2019 with a smoothed minimum sunspot number of 1.8 and is expected to continue until about 2030. Although there were widely varying predictions regarding the strength of the cycle ranging from very weak to strong, the Solar Cycle 25 Prediction Panel predicted in December 2019 that it will be similar to solar cycle 24, with the number of sunspots reaching a (smoothed) maximum of 115 in July 2025 (± 8 months). Early signs of the new cycle include the appearance of reversed polarity sunspots and polarward reversed polarity sunspots since as early as December 2016, as well as the brewing of magnetic regions with the underlying orientation of solar cycle 25 toroidal field component observed in December 2019. Recently, an X-class solar flare, the second of the cycle, erupted which could graze Earth on October 30 or 31, accompanied by possible bright aurorae and potential interference with satellite communications. The first C-class solar flares took place on May 29, 2020, with activity increasing in the following months, especially abruptly in October, with flares taking place on a near-daily basis by November. On November 29, an M4.4 flare, the strongest of the cycle to date, took place, possibly indicating the solar cycle would be more active than initially thought. A small coronal mass ejection was found heading directly towards Earth on December 8, 2020, shortly after a strong C-class solar flare, causing bright aurorae at high latitudes."
44,83,"

The 2021 G20 Rome summit, which takes place on 30-31 October in Rome, Italy, is the sixteenth meeting of Group of Twenty (G20). This year, the event marks the first in-person gathering since the beginning of the pandemic, and it includes a mix of in-person and virtual presence. The summit features participations from leaders of the 20 member countries, including Australia's Prime Minister, Scott Morrison, Brazil's President, Jair Bolsonaro, and Canada's Prime Minister, Justin Trudeau. Notably, Russian President Vladimir Putin and Chinese President Xi Jinping are joining the summit via video link. The event also invites some additional world leaders as invited guests, including Mark Rutte, the Prime Minister of the Netherlands. The summit aims to address pressing issues around climate change, economic recovery, and vaccine distribution."
45,84,"

UPDATED VERSION:

On 31 October 2021, a collision between two trains occurred near Salisbury railway station in Wiltshire, resulting in a derailment and leaving seventeen people injured. The incident took place around 7:00 pm UTC at Fisherton Tunnel near London Road. Emergency response teams, including police and firefighters, immediately arrived at the scene to attend to the injured. Following preliminary investigations, authorities are working to determine the cause of the collision between the two trains."
