,response
25,"The ongoing war in Afghanistan began in 2001 when Operation Enduring Freedom was launched by the United States and its allies following the September 11 attacks against the United States in 2001. The primary objective of the invasion was to defeat al-Qaeda and remove the Taliban regime which had provided safe haven to Osama bin Laden and other al-Qaeda leaders responsible for the 9/11 attacks. Since then, the conflict has expanded into a multi-sided civil war between the government of Afghanistan, the Taliban insur"
26,"The ongoing war in Afghanistan began in 2001 when Operation Enduring Freedom was launched by the United States and its allies following the September 11 attacks against the United States in 2001. The primary objective of the invasion was to defeat al-Qaeda and remove the Taliban regime which had provided safe haven to Osama bin Laden and other al-Qaeda leaders responsible for the 9/11 attacks. Since then, the conflict has expanded into a multi-sided civil war between the government of Afghanistan, the Taliban insur"
27,"The COVID-19 pandemic is an ongoing viral illness caused by severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2). First identified in Wuhan, Hubei, China in late 2019, it has since become a global pandemic affecting millions of people around the world. It is primarily spread through respiratory droplets produced when an infected person speaks, coughs, or sneezes. Symptoms include fever, cough, and difficulty breathing. The virus can lead to"
28,"The COVID-19 pandemic is an ongoing viral disease outbreak caused by severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2). It originated in Wuhan, China in late 2019 and has since become a global pandemic. The virus spreads easily from person to person through respiratory droplets produced when an infected person speaks, coughs, or sneezes. The World Health Organization (WHO) declared the outbreak a pandemic on 11 January 2020"
29,"The COVID-19 pandemic is an ongoing outbreak of coronavirus disease 2019 (COVID-19) caused by severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2). First identified in Wuhan, Hubei, China in late 2019, it has since become a global pandemic, with cases reported in most countries around the world. The virus spreads easily from person to person through respiratory droplets produced when an infected person speaks, coughs, or sneez"
30,"The Battle of Mazar-i-Sharif was a military confrontation between the Taliban insurgency and the Afghan National Security Forces (ANSF) in the city of Mazar-i-Sharif in northern Afghanistan. The battle began on April 21, 2017, when the Taliban launched a coordinated attack on several government buildings in the city, including the police headquarters and the attorney general's office. The fighting continued for several days, with reports of heavy casualties on both sides. By April 24, the Taliban had"
31,"The Battle of Mazar-i-Sharif was a military confrontation between the Taliban insurgency and the Afghan National Security Forces (ANSF) in the city of Mazar-i-Sharif in northern Afghanistan. The battle began on April 21, 2017, when the Taliban launched a coordinated attack on several government buildings in the city, including the police headquarters and the attorney general's office. The fighting continued for several days, with reports of heavy casualties on both sides. By April 24, the Taliban had"
32,"The War in Afghanistan began on October 7, 2001, when Operation Enduring Freedom was launched by the United States and its allies following the September 11 attacks against the United States in 2001. The operation was initially aimed at removing the Taliban regime which had been accused of harboring Osama bin Laden, the mastermind behind the 9/11 attacks. After the initial invasion, Operation Enduring Freedom evolved into a counter-insurgency campaign against the Taliban and other anti-government militant groups."
33,"The War in Afghanistan began on October 7, 2001, when Operation Enduring Freedom was launched by the United States and its allies following the September 11 attacks against the United States in 2001. The operation was initially aimed at removing the Taliban regime which had been accused of harboring Osama bin Laden, the mastermind behind the 9/11 attacks. After the initial invasion, Operation Enduring Freedom evolved into a counter-insurgency campaign against the Taliban and other anti-government militant groups."
34,"The Islamic Republic of Afghanistan (Persian: جمهوری اسلامی افغانستان, Pashto: د افغانستان اسلامي جمهوري, Dari: جمهوری اسلامی افغانستان) is a country located in Central Asia and South Asia. It is bordered by Pakistan to the south and east, Iran to the west, Turkmenistan"
35,"The 2019 Canadian federal election was held on October 21, 2019, to elect members to the 43rd Parliament of Canada. It was the 47th federal election in Canada since Confederation in 1867. The election was called by Prime Minister Justin Trudeau on August 2, 2019, after the opposition parties had been pushing for an election for months. The election resulted in a minority government for Trudeau's Liberal Party, which won 157 seats out of 338 in the House of"
36,"The ongoing war in Afghanistan began in 2001 when Operation Enduring Freedom was launched by the United States and its allies following the September 11 attacks against the United States in 2001. The primary objective of the invasion was to capture or kill Osama bin Laden and destroy al-Qaeda's training camps in the country. After the initial invasion, Operation Enduring Freedom transitioned into Operation Iraqi Freedom, which aimed to overthrow Saddam Hussein's government in Iraq. In 2003, the United"
37,"The COVID-19 pandemic in Australia is part of the ongoing worldwide pandemic of coronavirus disease 2019 (COVID-19) caused by severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2). The first confirmed case of COVID-19 in Australia was announced on 31 January 2020. As of 17 October 2021, there have been over 58,000 confirmed cases of COVID-19 in Australia, resulting in over 4,00"
38,"The COVID-19 pandemic in Australia is part of the ongoing worldwide pandemic of coronavirus disease 2019 (COVID-19) caused by severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2). The first confirmed case of COVID-19 in Australia was announced on 31 January 2020. As of 17 October 2021, there have been over 58,000 confirmed cases of COVID-19 in Australia, resulting in over 4,00"
39,"The COVID-19 pandemic in Australia is part of the ongoing worldwide pandemic of coronavirus disease 2019 (COVID-19) caused by severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2). The first confirmed case of COVID-19 in Australia was announced on 31 January 2020. As of 17 October 2021, there have been over 58,000 confirmed cases of COVID-19 in Australia, resulting in over 4,00"
40,"The COVID-19 pandemic in Australia is part of the ongoing worldwide pandemic of coronavirus disease 2019 (COVID-19) caused by severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2). The first confirmed case of COVID-19 in Australia was announced on 31 January 2020. As of 17 October 2021, there have been over 58,000 confirmed cases of COVID-19 in Australia, resulting in over 4,00"
41,"The COVID-19 pandemic in Australia is part of the ongoing worldwide pandemic of coronavirus disease 2019 (COVID-19) caused by severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2). The first confirmed case of COVID-19 in Australia was announced on 31 January 2020. As of 17 October 2021, there have been over 58,000 confirmed cases of COVID-19 in Australia, resulting in over 4,00"
42,"The ongoing war in Afghanistan began in 2001 when Operation Enduring Freedom was launched by the United States and its allies following the September 11 attacks against the United States in 2001. The primary objective of the invasion was to capture or kill Osama bin Laden and destroy al-Qaeda's training camps in the country. After the initial invasion, Operation Enduring Freedom evolved into a counterinsurgency campaign against the Taliban and other anti-government forces. In 2014, the United States and its al"
43,"The COVID-19 pandemic in Afghanistan is part of the ongoing worldwide pandemic of coronavirus disease 2019 (COVID-19) caused by severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2). The first confirmed case in Afghanistan was reported on 3 March 2020. As of 18 April 2021, there have been at least 1,754 confirmed cases and 10 deaths in the country. On 11 March 2020"
44,"The COVID-19 pandemic is a viral illness caused by the SARS-CoV-2 virus. It first emerged in Wuhan, China in late 2019 and has since become a global pandemic. The World Health Organization (WHO) declared the outbreak a public health emergency of international concern on January 8, 2020. On March 11, 2020, the United States reported the first case of person-to-person transmission of the virus within the country. On March 13, 202"
45,"The COVID-19 pandemic is an ongoing outbreak of coronavirus disease 2019 (COVID-19) caused by severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2). First identified in Wuhan, Hubei, China in late 2019, it has since spread to become a global pandemic, affecting millions of people and causing widespread illness and death. The World Health Organization (WHO) declared a global pandemic on January 8, 2020."
46,"The COVID-19 pandemic is an ongoing outbreak of coronavirus disease 2019 (COVID-19) caused by severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2). First identified in Wuhan, Hubei, China in late 2019, it has since spread to become a global pandemic, affecting millions of people and causing widespread illness and death. The World Health Organization (WHO) declared a global pandemic on January 8, 2020."
47,"The COVID-19 pandemic is an ongoing viral disease outbreak caused by severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2). It originated in Wuhan, Hubei, China in late 2019 and has since spread to become a global pandemic. The World Health Organization (WHO) declared the outbreak a Public Health Emergency of International Concern (PHEIC) on January 8, 2020. As of February 27, 2023, there have been over"
48,"The COVID-19 pandemic is an ongoing outbreak of coronavirus disease 2019 (COVID-19) caused by severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2). First identified in Wuhan, Hubei, China in late 2019, it has since become a global pandemic, with cases reported in most countries around the world. The World Health Organization (WHO) declared a public health emergency of international concern (PHEIC) on January 8, 2020"
49,"The COVID-19 pandemic is an ongoing outbreak of coronavirus disease 2019 (COVID-19) caused by severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2). First identified in Wuhan, Hubei, China in late 2019, it has since become a global pandemic, with cases reported in most countries around the world. The World Health Organization (WHO) declared a global pandemic on 11 January 2020. As of February 2021"
50,"The COVID-19 pandemic is an ongoing outbreak of coronavirus disease 2019 (COVID-19) caused by severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2). First identified in Wuhan, Hubei, China in late 2019, it has since become a global pandemic, with cases reported in most countries around the world. The World Health Organization (WHO) declared a public health emergency of international concern (PHEIC) on January 8, 2020"
51,"The COVID-19 pandemic is an ongoing outbreak of coronavirus disease 2019 (COVID-19) caused by severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2). First identified in Wuhan, Hubei, China in late 2019, it has since become a global pandemic, with cases reported in most countries around the world. The World Health Organization (WHO) declared a global pandemic on 11 January 2020. As of February 2021"
52,"The COVID-19 pandemic is an ongoing outbreak of coronavirus disease 2019 (COVID-19) caused by severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2). First identified in Wuhan, Hubei, China in late 2019, it has since become a global pandemic, with cases reported in most countries around the world. The World Health Organization (WHO) declared a global pandemic on 11 January 2020. As of February 2021"
53,"The COVID-19 pandemic is an ongoing outbreak of coronavirus disease 2019 (COVID-19) caused by severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2). First identified in Wuhan, Hubei, China in late 2019, it has since become a global pandemic affecting millions of people around the world. The World Health Organization (WHO) declared the outbreak a public health emergency of international concern on January 8, 2020. As of February"
54,"The COVID-19 pandemic is an ongoing outbreak of coronavirus disease 2019 (COVID-19) caused by severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2). First identified in Wuhan, Hubei, China in late 2019, it has since become a global pandemic, with cases reported in every continent except Antarctica. On 11 March 2020, the World Health Organization (WHO) declared a public health emergency of international concern (PHE"
55,"The COVID-19 pandemic is an ongoing viral disease outbreak caused by severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2). It originated in Wuhan, China in late 2019 and has since become a global pandemic. The virus spreads easily from person to person through respiratory droplets produced when an infected person speaks, coughs, or sneezes. The World Health Organization (WHO) declared the outbreak a pandemic on 11 March 2020"
56,"The COVID-19 pandemic is an ongoing outbreak of coronavirus disease 2019 (COVID-19) caused by severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2). First identified in Wuhan, Hubei, China in late 2019, it has since become a global pandemic, with cases reported in most countries around the world. On 11 March 2020, the World Health Organization (WHO) declared a public health emergency of international concern (PHEIC"
57,"The COVID-19 pandemic is an ongoing viral disease outbreak caused by severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2). First identified in Wuhan, Hubei, China in late 2019, it has since become a global pandemic, affecting millions of people around the world. It is primarily spread through respiratory droplets when an infected person speaks, coughs, or sneezes. The World Health Organization (WHO) declared a global pandemic on 11 March"
58,"The COVID-19 pandemic is an ongoing outbreak of coronavirus disease 2019 (COVID-19) caused by severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2). First identified in Wuhan, Hubei, China in late 2019, it has since become a global pandemic, with cases reported in most countries around the world. The virus spreads easily from person to person through respiratory droplets produced when an infected person speaks, coughs, or sneez"
59,"The COVID-19 pandemic is a viral illness caused by severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2). First identified in Wuhan, Hubei, China in late 2019, it has since become a global pandemic, with cases reported in every country in the world. The World Health Organization (WHO) declared a global pandemic on 11 March 2020. The virus spreads from person to person through respiratory droplets produced when an infected person speaks, c"
60,"The COVID-19 pandemic is a viral illness caused by the SARS-CoV-2 virus. It first emerged in Wuhan, China in late 2019 and has since become a global pandemic. The World Health Organization (WHO) declared the outbreak a global pandemic on January 8, 2020. On March 11, 2020, the United States reported the first case of person-to-person transmission of the virus within the country. As of February 27, 2023, there"
61,"The COVID-19 pandemic is an ongoing viral disease outbreak caused by severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2). First identified in Wuhan, Hubei, China in late 2019, it has since become a global pandemic. The World Health Organization (WHO) declared a public health emergency of international concern (PHEIC) on January 8, 2020, which was later downgraded to a national emergency on May 17, 2020."
62,"The COVID-19 pandemic is an ongoing viral disease outbreak caused by severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2). It originated in Wuhan, China in late 2019 and has since become a global pandemic. The World Health Organization (WHO) declared the outbreak a public health emergency of international concern (PHEIC) on January 8, 2020, and later declared it a pandemic on March 11, 2020. As of February 2"
63,"The COVID-19 pandemic is an ongoing viral disease outbreak caused by severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2). It originated in Wuhan, China in late 2019 and has since become a global pandemic. The virus spreads easily from person to person through respiratory droplets when an infected person speaks, coughs, or sneezes. Common symptoms include fever, cough, and difficulty breathing. The World Health Organization (WHO) declared the out"
64,"The COVID-19 pandemic is an ongoing outbreak of coronavirus disease 2019 (COVID-19) caused by severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2). First identified in Wuhan, Hubei, China in late 2019, it has since become a global pandemic, with cases reported in most countries around the world. The World Health Organization (WHO) declared a global pandemic on January 8, 2020. As of February 27,"
65,"The COVID-19 pandemic is an ongoing viral disease outbreak caused by severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2). It originated in Wuhan, Hubei, China in late 2019 and has since spread globally, affecting millions of people and causing hundreds of thousands of deaths. The World Health Organization (WHO) declared the outbreak a global pandemic on 11 January 2020. As of February 2021, there have been more than 4."
66,"The COVID-19 pandemic is an ongoing viral disease outbreak caused by severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2). It originated in Wuhan, China in late 2019 and has since become a global pandemic. The World Health Organization (WHO) declared the outbreak a Public Health Emergency of International Concern (PHEIC) on January 8, 2020. As of February 23, 2023, there have been over 54 million confirmed cases"
67,"The COVID-19 pandemic is an ongoing viral disease outbreak caused by severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2). It originated in Wuhan, Hubei, China in late 2019 and has since spread globally, affecting millions of people and causing hundreds of thousands of deaths. The World Health Organization (WHO) declared the outbreak a global pandemic on 11 January 2020, and countries around the world have implemented various measures to control the spread of the virus."
68,"The COVID-19 pandemic is an ongoing viral disease outbreak caused by severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2). It originated in Wuhan, Hubei, China in late 2019 and has since become a global pandemic. The World Health Organization (WHO) declared the outbreak a Public Health Emergency of International Concern (PHEIC) on January 8, 2020. As of March 20, 2023, there have been over 4"
69,"The COVID-19 pandemic is an ongoing viral disease outbreak caused by severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2). It originated in Wuhan, Hubei, China in late 2019 and has since become a global pandemic. The World Health Organization (WHO) declared the outbreak a Public Health Emergency of International Concern (PHEIC) on January 8, 2020. As of February 27, 2023, there have been over 4"
70,"The COVID-19 pandemic is an ongoing outbreak of coronavirus disease 2019 (COVID-19) caused by severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2). First identified in Wuhan, Hubei, China in late 2019, it has since become a global pandemic, with cases reported in most countries around the world. On 11 January 2020, the World Health Organization (WHO) declared a Public Health Emergency of International Concern (PHE"
71,"The COVID-19 pandemic is an ongoing viral disease outbreak caused by severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2). It originated in Wuhan, Hubei, China in late 2019 and has since become a global pandemic. The World Health Organization (WHO) declared the outbreak a Public Health Emergency of International Concern (PHEIC) on January 30, 2020. As of February 17, 2023, there have been over"
72,"The COVID-19 pandemic is an ongoing viral disease outbreak caused by severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2). It originated in Wuhan, Hubei, China in late 2019 and has since become a global pandemic. The World Health Organization (WHO) declared the outbreak a Public Health Emergency of International Concern (PHEIC) on January 30, 2020. As of February 17, 2023, there have been over"
73,"The COVID-19 pandemic is an ongoing outbreak of coronavirus disease 2019 (COVID-19) caused by severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2). First identified in Wuhan, Hubei, China in late 2019, it has since become a global pandemic, with cases reported in most countries around the world. On 11 January 2020, the World Health Organization (WHO) declared the outbreak a Public Health Emergency of International Concern"
74,"The COVID-19 pandemic is a viral illness caused by severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2). First identified in Wuhan, Hubei, China in late 2019, it has since become a global pandemic, affecting millions of people around the world. It is primarily spread through respiratory droplets when an infected person speaks, coughs, or sneezes. Common symptoms include fever, cough, and difficulty breathing. Severe cases can lead to p"
75,"The COVID-19 pandemic is an ongoing outbreak of coronavirus disease 2019 (COVID-19) caused by severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2). First identified in Wuhan, Hubei, China in late 2019, it has since become a global pandemic, with cases reported in most countries around the world. On 11 March 2020, the World Health Organization (WHO) declared the outbreak a public health emergency of international concern ("
76,"The COVID-19 pandemic is an ongoing viral disease outbreak caused by severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2). It originated in Wuhan, China in late 2019 and has since become a global pandemic. The World Health Organization (WHO) declared the outbreak a Public Health Emergency of International Concern (PHEIC) on January 8, 2020. As of February 27, 2023, there have been over 4.5 million death"
77,"The COVID-19 pandemic is a viral illness caused by the SARS-CoV-2 virus. It first emerged in Wuhan, China in late 2019 and has since become a global pandemic. The World Health Organization (WHO) declared the outbreak a public health emergency of international concern on January 8, 2020. On March 11, 2020, the WHO declared the pandemic to be a pandemic of moderate severity. As of February 27, 2023,"
78,"The COVID-19 pandemic is an ongoing viral disease outbreak caused by severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2). It originated in Wuhan, China in late 2019 and has since become a global pandemic. The virus spreads easily from person to person through respiratory droplets when an infected person coughs, sneezes, or talks. Symptoms include fever, cough, and difficulty breathing. The World Health Organization (WHO) declared a global"
79,"The COVID-19 pandemic is an ongoing viral disease outbreak caused by severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2). First identified in Wuhan, Hubei, China in late 2019, it has since become a global pandemic, with cases reported in most countries around the world. The World Health Organization (WHO) declared a global pandemic of the disease on 11 January 2020. As of February 2021, there have been over 3 million deaths glob"
80,"The COVID-19 pandemic is an ongoing viral disease outbreak caused by severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2). First identified in Wuhan, Hubei, China in late 2019, it has since become a global pandemic, with cases reported in most countries around the world. The World Health Organization (WHO) declared a global pandemic of the disease on 11 January 2020. As of February 2021, there have been over 3 million deaths glob"
81,"The 2021 Taliban offensive in Afghanistan is an ongoing military offensive launched by the Taliban insurgency against the government of Afghanistan. The offensive began in late May 2021, following the collapse of peace talks between the Taliban and the government. The Taliban aim to take control of Kabul and overthrow the government of President Ashraf Ghani. The offensive has resulted in significant territorial gains for the Taliban, including the capture of several provinces, and has caused widespread displacement of civilians."
82,"The 2021 Taliban offensive in Afghanistan is an ongoing military offensive launched by the Taliban insurgency against the government of Afghanistan. The offensive began in late May 2021, following the collapse of peace talks between the Taliban and the government. The Taliban aim to take control of Kabul and overthrow the government of President Ashraf Ghani. The offensive has resulted in significant territorial gains for the Taliban, including the capture of several provinces, and has caused widespread displacement of civilians."
